"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 10 15:06:31 CET 2023","Fri Feb 10 15:06:31 CET 2023","457","","Update the existing data for pet","","","","Update the exisitng pet",""
"passed","Fri Feb 10 15:06:25 CET 2023","Fri Feb 10 15:06:25 CET 2023","114","","Get Pet status suite","","","","Get pets inventory status",""
"passed","Fri Feb 10 15:06:28 CET 2023","Fri Feb 10 15:06:28 CET 2023","446","","Create new pet and verify pet is stored","","","","Add new pet to the store and verify pet is stored",""
"passed","Fri Feb 10 15:06:25 CET 2023","Fri Feb 10 15:06:25 CET 2023","116","","Get Pet status suite","","","","Get pet status sold",""
"passed","Fri Feb 10 15:06:25 CET 2023","Fri Feb 10 15:06:25 CET 2023","117","","Get Pet status suite","","","","Enter invalid petId and check 404 status code is displayed",""
"passed","Fri Feb 10 15:06:24 CET 2023","Fri Feb 10 15:06:25 CET 2023","552","","Get Pet status suite","","","","Get pet status available",""
"passed","Fri Feb 10 15:06:34 CET 2023","Fri Feb 10 15:06:34 CET 2023","364","","Order Pet from the store","","","","E2E order pet",""
"passed","Fri Feb 10 15:06:25 CET 2023","Fri Feb 10 15:06:25 CET 2023","115","","Get Pet status suite","","","","Get pet status pending",""
"passed","Fri Feb 10 15:06:20 CET 2023","Fri Feb 10 15:06:21 CET 2023","889","","Delete pet from the store and verify pet is not found","","","","Create a new pet and delete it from the store and veriy pet is not found",""
